#{"t_start": 1651395587.507558, "env_id": "cruise-ctrl-v0"}
r,l,t
-1.178407,101,531.483573
-2.405582,101,532.060872
-2.285919,101,532.658271
-2.354707,101,533.248806
-2.162861,101,533.843998
-2.065012,101,534.43415
-1.604164,101,535.022736
-2.94828,101,535.604299
-1.675811,101,536.225817
-0.249785,101,536.80647
-1.525201,101,537.384833
-2.096306,101,537.962167
-0.490248,101,538.556186
-0.937292,101,539.144934
-2.396328,101,539.735958
-0.736377,101,540.31552
-8.699253,8,540.362068
-7.993348,7,540.402798
-1.157538,101,540.981302
-2.433202,101,541.558893
-0.969972,101,542.135018
-0.361778,101,542.711963
-0.859442,101,543.289024
-1.544992,101,543.869599
-1.994555,101,544.467965
-1.32763,101,545.069309
-1.676045,101,545.655124
-0.671458,101,546.235493
-2.091693,101,546.842255
-1.598287,101,547.445186
-1.711254,101,548.026316
-2.129289,101,548.606424
-2.305403,101,549.187741
-2.58405,101,549.77503
-2.224235,101,550.372145
-18.782482,9,550.431187
-2.215352,101,551.0478
-2.176981,101,551.690301
-1.869057,101,552.338423
-3.642291,101,552.985829
-8.968791,6,553.025488
-2.248278,101,553.669599
-2.296775,101,554.301337
-1.993152,101,554.86158
-2.642395,101,555.420399
-2.114316,101,555.981194
-2.824496,101,556.57144
-2.678551,101,557.152775
-2.081454,101,557.716734
-1.102584,101,558.275285
-2.713676,101,558.89152
-7.825118,10,558.956954
-2.156258,101,559.543515
-4.017169,101,560.130692
-3.323239,101,560.717434
-1.478514,101,561.301936
-9.608173,4,561.325238
-1.800124,101,561.921211
-1.405173,101,562.52027
-3.24505,101,563.11955
-2.319259,101,563.711782
-3.020148,101,564.295683
-1.717233,101,564.878714
-2.44456,101,565.459177
0.38722,101,566.041708
0.492723,101,566.621603
-0.590399,101,567.202086
-1.354797,101,567.797674
-0.15673,101,568.390441
-0.772048,101,568.995722
-0.210751,101,569.577453
-0.563445,101,570.160885
-0.171417,101,570.74083
-0.062776,101,571.320776
0.053623,101,571.911847
-9.266292,4,571.935035
0.85293,101,572.523527
-0.838065,101,573.108561
0.112781,101,573.717876
0.942882,101,574.323632
0.096958,101,574.921695
0.852901,101,575.506836
-1.021572,101,576.090137
-0.343301,101,576.667026
0.128721,101,577.244603
0.081842,101,577.822329
1.552416,101,578.39961
0.26318,101,578.98566
-0.064373,101,579.58534
0.437027,101,580.19709
0.301892,101,580.780602
-0.269676,101,581.357467
0.38393,101,581.941237
0.244972,101,582.523072
1.002409,101,583.100701
0.42385,101,583.678631
0.323164,101,584.25617
-0.067151,101,584.836969
0.598872,101,585.428618
-0.108815,101,586.026706
0.447831,101,586.613917
0.153157,101,587.19141
-0.944305,101,587.768101
-0.305467,101,588.344054
-0.280214,101,588.92139
-1.110128,101,589.496447
-1.004803,101,590.07332
-0.340264,101,590.650429
-0.519373,101,591.245838
-0.586973,101,591.839774
-1.129041,101,592.422345
-8.515603,7,592.46248
0.048006,101,593.040258
-0.600753,101,593.617591
-0.903407,101,594.193244
-0.210959,101,594.776138
-0.179927,101,595.360191
-0.308608,101,595.947103
-0.293658,101,596.553963
-0.72886,101,597.160896
-0.206701,101,597.756768
0.169792,101,598.341869
-0.337502,101,598.924013
-0.145763,101,599.504265
0.278657,101,600.085944
-0.948752,101,600.672925
-0.500922,101,601.256276
0.002275,101,601.834286
0.042767,101,602.410856
0.409721,101,603.010479
-0.026602,101,603.603583
-8.212807,7,603.647644
-0.630865,101,604.27963
-0.004852,101,604.897929
0.824378,101,605.474792
-0.415342,101,606.052396
0.907852,101,606.630926
0.681362,101,607.200753
0.786072,101,607.773333
-0.624549,101,608.363832
0.925409,101,608.958137
0.692267,101,609.551126
0.583491,101,610.131659
-0.122513,101,610.708513
0.582815,101,611.286326
-8.219866,8,611.331979
0.926194,101,611.909395
0.511199,101,612.487172
1.108747,101,613.063115
-0.2274,101,613.641238
0.798781,101,614.229594
0.516672,101,614.813671
0.125293,101,615.405581
0.464701,101,615.990495
0.918617,101,616.568802
-0.227945,101,617.149364
-0.132497,101,617.725888
0.414656,101,618.301867
0.161144,101,618.878249
0.621999,101,619.452776
0.523206,101,620.042252
-8.924078,5,620.071252
-0.176375,101,620.662302
1.169309,101,621.247648
0.751961,101,621.825252
-7.997777,6,621.859587
0.885806,101,622.435083
0.458311,101,623.013366
0.704965,101,623.588584
-0.15207,101,624.16856
-0.318008,101,624.746454
-0.823959,101,625.323824
0.024368,101,625.904647
-7.863429,6,625.938963
0.876599,101,626.515307
0.253786,101,627.095315
0.061384,101,627.672361
0.442847,101,628.247626
-0.29035,101,628.823941
0.088336,101,629.399531
0.841887,101,629.984198
-0.073665,101,630.566348
1.269834,101,631.147558
0.141637,101,631.74452
0.053082,101,632.343514
0.81016,101,632.930606
0.176,101,633.507904
-0.697318,101,634.084286
0.009238,101,634.660714
0.690056,101,635.236944
0.867375,101,635.813665
0.140837,101,636.389586
0.536088,101,636.965566
-9.090715,7,637.005679
0.142851,101,637.583484
0.137358,101,638.160717
-0.42897,101,638.736576
-0.429199,101,639.313694
0.746108,101,639.892429
0.133196,101,640.46861
-0.678202,101,641.045655
0.584397,101,641.621409
-8.860584,6,641.655672
0.091915,101,642.230412
0.052252,101,642.809479
-0.167915,101,643.384521
0.833668,101,643.961602
-8.193302,8,644.00762
-0.22144,101,644.584495
0.275453,101,645.1624
-9.056111,7,645.20307
0.190157,101,645.77974
0.359215,101,646.355021
-0.058637,101,646.931637
-0.350619,101,647.507424
0.303166,101,648.083833
0.532784,101,648.669385
0.262234,101,649.249524
-0.494294,101,649.831825
0.532071,101,650.408823
0.112506,101,650.986974
-0.365972,101,651.564157
-0.757651,101,652.141166
-0.351331,101,652.718501
-8.996179,4,652.741396
-8.064543,6,652.775766
-0.224721,101,653.351598
-0.774641,101,653.93289
-0.995774,101,654.510935
-0.334815,101,655.089416
-0.240056,101,655.666578
0.075601,101,656.242879
-7.845829,7,656.282801
0.232906,101,656.860565
0.436424,101,657.436724
0.586652,101,658.01348
0.136174,101,658.590496
1.529772,101,659.167561
0.488912,101,659.744942
-0.140871,101,660.324581
0.217128,101,660.904183
0.117108,101,661.478933
-0.28664,101,662.055927
-0.654046,101,662.632017
-0.174041,101,663.207109
0.574931,101,663.784234
-0.055919,101,664.361088
0.636189,101,664.940112
1.029412,101,665.517176
0.325194,101,666.096112
0.21079,101,666.67256
0.399048,101,667.248652
1.015434,101,667.824834
-0.200557,101,668.402185
0.546731,101,668.977296
0.078031,101,669.552038
0.432525,101,670.130795
0.740427,101,670.70745
0.442344,101,671.299913
0.545382,101,671.889679
0.689078,101,672.479171
-18.156526,10,672.538395
0.997504,101,673.120317
-0.381061,101,673.696331
-0.149121,101,674.27149
-0.3053,101,674.848144
0.358375,101,675.425318
0.670703,101,676.007465
-0.874582,101,676.589012
0.409741,101,677.17171
0.636263,101,677.751217
0.763682,101,678.330778
0.039858,101,678.911798
0.647559,101,679.492394
1.47407,101,680.073057
1.400192,101,680.656539
-0.249636,101,681.23603
1.136026,101,681.814983
0.520546,101,682.393925
0.249226,101,682.977531
0.535705,101,683.555146
0.036031,101,684.135283
-0.043877,101,684.717425
-0.24826,101,685.296547
-0.102873,101,685.877718
-8.353968,7,685.917825
-0.28331,101,686.496924
0.240206,101,687.076565
-0.086438,101,687.655706
-8.750171,5,687.684555
-0.101106,101,688.262159
0.112504,101,688.850041
-0.368972,101,689.431175
-8.119256,7,689.47211
-8.347773,6,689.506564
0.261852,101,690.090884
-0.176093,101,690.667793
-1.125899,101,691.246356
0.138521,101,691.823496
-0.347879,101,692.398627
-0.313632,101,692.974612
0.541206,101,693.550816
-0.06277,101,694.130184
-0.374359,101,694.710552
0.637937,101,695.288059
-0.018047,101,695.864349
-0.011976,101,696.440817
-0.289543,101,697.017273
-0.151375,101,697.59342
-0.297718,101,698.172116
-0.918857,101,698.750408
-7.643,11,698.814173
-0.448429,101,699.390878
0.840269,101,699.972228
1.619395,101,700.55038
0.087762,101,701.127662
0.595662,101,701.70494
0.938741,101,702.282331
0.385799,101,702.858946
-0.069647,101,703.434849
0.141395,101,704.015296
-8.184289,6,704.049816
-9.691707,4,704.072733
1.152516,101,704.649533
1.014652,101,705.229401
-0.057981,101,705.809536
0.442907,101,706.385753
0.330346,101,706.960757
1.023848,101,707.535758
0.887769,101,708.113382
0.249681,101,708.690195
-0.513155,101,709.266745
-8.48279,7,709.306705
0.289158,101,709.885023
-0.408827,101,710.466244
0.406828,101,711.047898
0.477087,101,711.627733
0.2841,101,712.206206
0.883282,101,712.784377
0.257943,101,713.361148
-8.237279,9,713.412515
0.547017,101,713.989413
0.255601,101,714.566515
-8.686921,6,714.601861
0.253352,101,715.198562
0.401631,101,715.78739
0.901786,101,716.365748
-0.159927,101,716.943203
0.63095,101,717.521616
0.751686,101,718.097958
0.42814,101,718.67674
-0.032517,101,719.25364
0.365434,101,719.834145
0.378538,101,720.41202
-0.41808,101,720.991761
-0.587691,101,721.569027
0.225655,101,722.148398
0.101724,101,722.726272
-0.42851,101,723.305049
-8.662877,5,723.333897
-0.196478,101,723.91021
0.865808,101,724.487504
1.392205,101,725.070121
-7.448984,10,725.128076
0.410394,101,725.708088
-0.330443,101,726.28934
0.701829,101,726.869615
0.443746,101,727.450131
0.372469,101,728.0312
-0.052701,101,728.617914
0.029891,101,729.193385
-0.784771,101,729.766706
0.091438,101,730.34232
-7.955939,8,730.388428
-8.343937,7,730.428387
0.595127,101,731.006385
-8.987914,7,731.046338
0.985417,101,731.622117
0.178866,101,732.197588
-0.783972,101,732.775448
-0.130187,101,733.355762
0.244708,101,733.936289
-0.840849,101,734.514529
-0.253207,101,735.091421
-0.524363,101,735.668351
-0.151495,101,736.245394
-0.749399,101,736.821247
-8.222228,9,736.872706
-0.32855,101,737.448129
0.260799,101,738.024978
1.135856,101,738.601201
1.347299,101,739.176455
-0.941973,101,739.758589
0.033817,101,740.339204
0.007987,101,740.917103
-8.341931,8,740.962947
-0.670939,101,741.53907
0.539294,101,742.115765
0.044256,101,742.692561
-0.263781,101,743.268752
0.239852,101,743.845405
0.420755,101,744.42296
0.667869,101,745.001179
0.887222,101,745.576336
-0.166117,101,746.15534
0.27586,101,746.733477
1.403742,101,747.309166
0.473403,101,747.886472
0.535324,101,748.461188
0.726811,101,749.037566
-0.163958,101,749.614124
0.227865,101,750.194201
-8.068996,9,750.245755
0.174661,101,750.829737
0.627387,101,751.407195
0.437062,101,751.987789
0.304724,101,752.570786
0.507837,101,753.213958
-18.662863,9,753.272189
-8.720282,6,753.311216
-0.418635,101,753.949246
0.994202,101,754.527553
-0.567849,101,755.107957
0.737834,101,755.686282
0.117617,101,756.265254
0.57972,101,756.843236
0.720027,101,757.420988
0.703994,101,758.001763
0.61595,101,758.579507
-8.124342,8,758.626709
0.605932,101,759.204018
0.026109,101,759.785326
0.357127,101,760.364026
-0.709854,101,760.945221
0.425588,101,761.523027
0.419903,101,762.105123
0.889616,101,762.682809
-0.640365,101,763.262241
0.148334,101,763.841215
-0.855408,101,764.419017
0.651467,101,765.005567
0.348851,101,765.585087
0.267276,101,766.165372
-8.912916,4,766.188429
-0.554151,101,766.766785
-0.453057,101,767.34631
-8.582697,7,767.386462
-0.085453,101,767.975755
-9.084845,5,768.004732
0.02786,101,768.584275
0.75232,101,769.170017
-0.167652,101,769.747734
-9.956156,3,769.765057
-8.262638,8,769.811195
0.5477,101,770.387129
-0.298158,101,770.963881
0.151197,101,771.540077
-9.200059,4,771.56346
0.401882,101,772.147399
-8.573328,6,772.181775
0.556493,101,772.760996
0.597421,101,773.338992
0.674012,101,773.917094
-8.592953,8,773.962991
0.173549,101,774.539357
0.646119,101,775.121061
0.963368,101,775.704137
0.097065,101,776.281294
0.288648,101,776.864891
0.029991,101,777.440898
-0.150589,101,778.017638
1.379911,101,778.59419
0.226278,101,779.171636
-0.111193,101,779.75103
0.116061,101,780.329228
0.338415,101,780.909143
-0.100308,101,781.485192
-18.830502,9,781.53711
0.753083,101,782.115733
-8.01998,10,782.173613
0.781274,101,782.750951
-0.225203,101,783.329883
-0.703586,101,783.906163
-7.835939,8,783.951835
0.976633,101,784.528733
0.631642,101,785.10588
0.264395,101,785.682936
0.29386,101,786.261452
0.025883,101,786.839756
0.415495,101,787.416157
-0.260237,101,787.99485
0.062106,101,788.572152
0.312259,101,789.150394
-1.002248,101,789.727608
0.012532,101,790.30501
-0.391847,101,790.882737
-0.25352,101,791.459805
-8.582516,5,791.488511
0.633396,101,792.06767
0.677469,101,792.647347
-0.182471,101,793.225306
0.637487,101,793.801345
0.917039,101,794.378815
1.43203,101,794.957635
0.016749,101,795.534473
0.424161,101,796.112603
-0.592578,101,796.692338
0.37586,101,797.272515
0.687338,101,797.853905
-8.38873,8,797.899952
0.180307,101,798.476248
0.44177,101,799.052387
0.839263,101,799.630137
0.157106,101,800.210677
0.073399,101,800.789297
0.782821,101,801.366962
0.551284,101,801.944108
-0.939753,101,802.521781
0.347425,101,803.098384
1.016023,101,803.679226
-8.551441,6,803.714154
-8.175853,8,803.760399
0.794385,101,804.338137
0.309625,101,804.919765
-0.169405,101,805.501509
0.821234,101,806.083271
0.72904,101,806.665411
0.186878,101,807.245559
0.349154,101,807.832089
0.171375,101,808.413036
0.145864,101,808.992587
0.097558,101,809.577298
0.2608,101,810.164398
-0.629518,101,810.745378
0.072593,101,811.324027
0.056357,101,811.908649
0.192167,101,812.486615
0.379416,101,813.069642
0.805394,101,813.652986
-8.852572,6,813.687734
0.164025,101,814.268638
0.474035,101,814.852964
0.140774,101,815.436005
-0.182035,101,816.01646
-1.29819,101,816.59584
1.062599,101,817.176615
-0.007342,101,817.756728
-0.078016,101,818.33707
-8.069723,7,818.377369
-0.335702,101,818.9621
0.335249,101,819.539506
0.170509,101,820.117547
-0.24541,101,820.698143
-0.083953,101,821.275943
-0.066016,101,821.853694
-0.263717,101,822.435318
0.462149,101,823.01615
0.921369,101,823.595761
0.14545,101,824.177025
-0.574822,101,824.75993
-0.07878,101,825.341253
1.489155,101,825.939812
0.474701,101,826.53406
0.645443,101,827.115478
0.363454,101,827.699494
-0.081699,101,828.284829
0.281148,101,828.867133
1.451617,101,829.447132
0.058461,101,830.030233
-19.219951,5,830.059372
-0.516105,101,830.642071
0.254403,101,831.224508
-9.012626,4,831.247903
0.223304,101,831.83052
-0.089382,101,832.413815
-9.109675,5,832.442714
0.866305,101,833.026663
1.030714,101,833.607832
-0.394503,101,834.197751
-0.072006,101,834.785231
0.30786,101,835.367415
0.632938,101,835.949885
-0.209098,101,836.533227
0.683497,101,837.11888
-0.061319,101,837.698663
-9.335078,4,837.721696
-0.402905,101,838.301711
0.720333,101,838.881772
0.389332,101,839.458219
0.280393,101,840.039263
0.513916,101,840.616572
0.287227,101,841.195135
-0.726703,101,841.772288
-0.431337,101,842.349632
0.775424,101,842.927069
0.210443,101,843.502701
0.75754,101,844.083174
-0.679906,101,844.66099
0.386118,101,845.238794
-0.301476,101,845.819562
-0.211339,101,846.397039
0.374478,101,846.975365
1.073903,101,847.553149
0.204956,101,848.133195
0.245943,101,848.71022
-7.665453,7,848.750359
-0.503525,101,849.327226
0.551961,101,849.911578
0.657164,101,850.489159
0.473989,101,851.06766
0.162446,101,851.645341
-0.217778,101,852.221899
0.561105,101,852.801899
0.60345,101,853.380529
1.047131,101,853.958316
-7.59946,11,854.021723
0.671242,101,854.600816
-0.473297,101,855.181756
-0.014377,101,855.761265
0.583055,101,856.339603
0.291368,101,856.9178
-0.860058,101,857.493972
0.757251,101,858.078119
-9.017984,5,858.107141
0.190022,101,858.686312
0.029504,101,859.263304
0.76286,101,859.842434
0.717732,101,860.4208
-0.342483,101,861.001107
0.265249,101,861.578981
0.505809,101,862.15796
0.055111,101,862.73634
-0.138838,101,863.313756
-9.587385,4,863.33675
0.305194,101,863.916942
0.334824,101,864.495351
0.235879,101,865.077396
-0.999952,101,865.655786
-0.463558,101,866.233277
0.526865,101,866.813112
0.789492,101,867.389836
0.042825,101,867.968447
0.670726,101,868.544925
1.504989,101,869.121895
-7.797647,10,869.179404
-0.463693,101,869.75606
0.546329,101,870.333211
0.149724,101,870.911339
0.780944,101,871.488123
1.105044,101,872.069592
0.768981,101,872.656028
-0.226188,101,873.237842
-0.076895,101,873.81988
0.335267,101,874.405747
0.191482,101,874.991768
0.157811,101,875.568686
0.267385,101,876.14792
-0.428965,101,876.727311
0.409292,101,877.305149
-8.687106,6,877.339597
-0.610541,101,877.917624
-0.439743,101,878.498096
0.320283,101,879.078033
-0.05862,101,879.656817
-0.112353,101,880.236793
0.484453,101,880.815764
0.937063,101,881.393114
-0.562639,101,881.971148
0.773014,101,882.548261
1.140227,101,883.127995
-1.029933,101,883.706977
0.536433,101,884.286956
-0.089155,101,884.866153
0.45136,101,885.444034
-8.433999,6,885.478418
0.898845,101,886.05735
0.569958,101,886.637
0.660989,101,887.219789
0.505898,101,887.801279
0.716928,101,888.380036
-0.096553,101,888.956709
-7.449284,10,889.014476
0.508977,101,889.595283
0.358681,101,890.175851
-0.349504,101,890.756265
0.145097,101,891.333658
-0.231175,101,891.911165
-0.063808,101,892.48902
1.043568,101,893.067578
0.442324,101,893.644654
0.850675,101,894.223606
0.42527,101,894.803488
-0.456096,101,895.384251
0.43733,101,895.964678
0.50449,101,896.542849
0.411171,101,897.122784
-0.146624,101,897.702372
-0.42855,101,898.279621
-0.343128,101,898.857752
0.17702,101,899.43479
0.469355,101,900.013995
0.596098,101,900.591376
0.280797,101,901.174134
0.208994,101,901.752037
0.252443,101,902.329907
0.423278,101,902.90837
-0.240114,101,903.486143
-0.090121,101,904.064657
0.345113,101,904.642116
0.784915,101,905.220081
-0.002111,101,905.799336
0.475937,101,906.377851
-0.037778,101,906.970271
0.734393,101,907.568136
-7.849864,9,907.62213
0.824331,101,908.230321
0.97284,101,908.810865
0.774251,101,909.396298
0.825442,101,909.982108
-0.164923,101,910.56482
0.228819,101,911.150141
-0.149194,101,911.733857
0.335067,101,912.317178
-9.391205,6,912.351717
-0.34603,101,912.952338
0.024506,101,913.556416
-0.125967,101,914.144295
0.47617,101,914.730769
0.314277,101,915.316708
-0.121412,101,915.899726
0.880443,101,916.480426
-0.703748,101,917.061428
0.77058,101,917.641796
0.027435,101,918.22572
1.023877,101,918.826257
0.389093,101,919.425253
0.291867,101,920.011097
-0.593592,101,920.59149
0.268951,101,921.173936
0.493868,101,921.760491
-0.360434,101,922.345609
0.769033,101,922.936421
0.462922,101,923.523564
0.314148,101,924.111017
-0.039516,101,924.717614
-9.142718,4,924.741387
0.306475,101,925.341864
0.623767,101,925.925046
0.538176,101,926.502079
0.802993,101,927.084438
-0.44425,101,927.668607
1.194667,101,928.24828
0.805447,101,928.829146
-8.460049,7,928.869639
1.205608,101,929.446434
-0.384671,101,930.029868
0.778648,101,930.60949
0.717398,101,931.190238
0.342767,101,931.769478
1.253226,101,932.350793
0.218399,101,932.952182
0.06334,101,933.530425
0.438333,101,934.109612
0.491389,101,934.689598
0.498657,101,935.270081
-0.289885,101,935.864028
0.364435,101,936.452535
-0.31938,101,937.044991
0.567613,101,937.627993
-0.183434,101,938.206326
0.019974,101,938.784627
0.613733,101,939.362508
-0.451097,101,939.943028
0.025771,101,940.523256
-0.147312,101,941.102806
-0.394691,101,941.701653
0.841812,101,942.292833
0.317229,101,942.887752
0.032402,101,943.47019
0.202593,101,944.052007
0.555649,101,944.633706
0.163893,101,945.213775
0.540395,101,945.796048
0.395033,101,946.375605
-0.355933,101,946.9557
-0.577772,101,947.549915
0.387966,101,948.145807
-8.55143,7,948.187521
-0.390642,101,948.773902
0.057365,101,949.353874
0.183853,101,949.936736
0.552251,101,950.517178
1.006657,101,951.097868
1.37091,101,951.678241
-0.514486,101,952.256859
0.470366,101,952.83931
-8.508606,7,952.87989
-8.539812,8,952.925867
0.322762,101,953.510112
-0.282669,101,954.093299
-8.605477,7,954.133651
0.747495,101,954.719854
-0.169009,101,955.288351
-0.095667,101,955.865258
0.295685,101,956.453052
-0.550837,101,957.040114
-9.259844,5,957.069002
0.839092,101,957.65439
0.667535,101,958.234674
-8.830204,5,958.263823
1.514169,101,958.852381
0.417915,101,959.430131
-0.013866,101,960.009207
0.457486,101,960.586491
-0.463424,101,961.16731
-18.098837,9,961.219027
-0.383855,101,961.800065
0.3445,101,962.378379
0.260876,101,962.95972
-0.703293,101,963.54247
0.491181,101,964.12466
0.801307,101,964.709609
-0.204024,101,965.294533
0.152147,101,965.878082
0.63394,101,966.456931
0.580898,101,967.038507
-0.061495,101,967.619196
0.359436,101,968.197703
0.750525,101,968.776926
0.396095,101,969.355592
-0.14959,101,969.941874
1.366921,101,970.525413
0.465281,101,971.109354
0.281165,101,971.690206
-0.170382,101,972.272925
-0.794046,101,972.855345
0.046675,101,973.43776
0.149256,101,974.019922
0.793489,101,974.600963
0.463489,101,975.183805
-0.405692,101,975.76769
0.554768,101,976.352036
0.765885,101,976.93471
0.148534,101,977.515968
-7.992034,7,977.556225
-0.154494,101,978.138877
0.414243,101,978.722506
-0.381034,101,979.306876
0.337623,101,979.892085
0.111253,101,980.473863
-0.373232,101,981.056076
0.434426,101,981.63745
0.408409,101,982.220591
0.754813,101,982.803509
0.261974,101,983.385258
-0.444993,101,983.972646
1.129553,101,984.554931
0.912222,101,985.14149
0.371198,101,985.727597
-0.291574,101,986.310989
1.070646,101,986.897939
0.305369,101,987.479858
0.433823,101,988.066433
0.847161,101,988.650326
