#{"t_start": 1651387311.3162405, "env_id": "cruise-ctrl-v0"}
r,l,t
2.437195,101,99.036627
2.174044,101,99.603021
1.814504,101,100.168854
2.726031,101,100.739245
1.944472,101,101.300691
2.291098,101,101.856161
2.736948,101,102.416571
2.332251,101,102.975013
2.416431,101,103.543883
2.665781,101,104.11138
-18.371789,6,104.146072
1.939731,101,104.713223
1.813722,101,105.277381
1.731623,101,105.840876
2.331228,101,106.41124
2.441798,101,106.975074
1.798947,101,107.539725
1.397801,101,108.114802
2.099819,101,108.683662
-8.245974,4,108.707291
2.491881,101,109.278624
2.072303,101,109.851182
-8.147053,6,109.886042
-8.381322,6,109.920666
2.207035,101,110.483693
2.74026,101,111.05148
2.696757,101,111.61867
-7.529765,7,111.659045
1.815008,101,112.225803
1.980733,101,112.789808
2.422285,101,113.355486
1.458268,101,113.924108
1.887008,101,114.495756
2.237607,101,115.065712
2.019366,101,115.629387
2.883837,101,116.195405
2.506494,101,116.760608
2.304278,101,117.3249
2.312588,101,117.887984
2.470427,101,118.453041
2.022589,101,119.017144
-16.779894,11,119.0799
3.326329,101,119.649833
2.74091,101,120.217559
-17.851056,7,120.258762
2.630058,101,120.823088
1.967535,101,121.387214
2.48351,101,121.947052
-8.032531,5,121.976048
2.909947,101,122.549912
2.658337,101,123.100993
-8.0192,5,123.131077
2.464101,101,123.696756
-7.943465,6,123.731757
2.41281,101,124.308145
1.623123,101,124.889495
2.289683,101,125.472697
-8.086847,6,125.507665
2.284683,101,126.091295
2.298437,101,126.673876
1.477784,101,127.25183
2.278215,101,127.818611
2.295591,101,128.383754
2.785753,101,128.946584
2.520359,101,129.505241
1.972016,101,130.079717
1.78789,101,130.648777
2.103543,101,131.228252
2.07527,101,131.805654
2.491133,101,132.378726
1.932498,101,132.946838
1.452187,101,133.618865
2.994142,101,134.201835
1.710619,101,134.785787
2.850366,101,135.364948
1.915006,101,135.947453
2.816048,101,136.525021
2.498083,101,137.103638
2.561705,101,137.678688
-8.6271,4,137.703346
1.831963,101,138.278481
2.274995,101,138.863433
