#{"t_start": 1651388775.5917256, "env_id": "cruise-ctrl-v1"}
r,l,t
1.851233,101,828.164968
2.025315,101,832.68458
1.911569,101,837.177572
2.451886,101,841.715717
2.958465,101,846.280981
1.51874,101,850.789058
2.348701,101,855.25341
2.585899,101,859.724251
1.877143,101,864.218549
2.104237,101,868.699442
1.62773,101,873.171205
3.131601,101,877.664632
1.744084,101,882.133714
2.71004,101,886.609848
2.584276,101,891.062614
2.464513,101,895.533209
1.847007,101,899.978614
2.286301,101,904.420197
2.111128,101,908.860911
2.140686,101,913.354825
1.871557,101,917.807056
-7.940309,6,918.12121
2.178306,101,922.579377
2.274523,101,927.028568
2.47217,101,931.463441
2.572352,101,935.925253
2.448163,101,940.350633
2.119027,101,944.775918
1.705323,101,949.256411
2.044701,101,953.692816
2.159279,101,958.124092
1.898976,101,962.558774
3.044793,101,967.013004
2.332272,101,971.455261
1.630309,101,975.884662
2.913073,101,980.397709
2.520682,101,984.879491
1.311555,101,989.354125
2.550476,101,993.806033
1.303903,101,998.280108
2.526131,101,1002.722389
2.008225,101,1007.166413
1.771556,101,1011.614289
1.535805,101,1016.086316
1.253371,101,1020.545659
2.647911,101,1024.987829
2.31137,101,1029.430315
3.812964,101,1033.920838
-18.264667,8,1034.314159
2.350628,101,1038.761989
2.06661,101,1043.201522
2.479835,101,1047.66201
2.581924,101,1052.169752
2.671799,101,1056.64169
1.146892,101,1061.089103
2.365747,101,1065.596531
2.391015,101,1070.099766
2.371665,101,1074.571462
-18.870876,5,1074.843148
-8.636971,4,1075.039517
2.197128,101,1079.491996
2.690394,101,1083.989172
2.115979,101,1088.445979
1.603721,101,1092.901443
1.315202,101,1097.378586
1.414423,101,1101.868821
2.697345,101,1106.337394
2.929516,101,1110.854489
1.557644,101,1115.331576
2.246765,101,1119.84869
1.47368,101,1124.31512
-8.358935,5,1124.587039
1.865541,101,1129.066328
1.938474,101,1133.539865
0.992104,101,1138.011216
1.521449,101,1142.513612
2.075766,101,1146.963948
1.972538,101,1151.412765
-8.480076,4,1151.644978
0.971932,101,1156.10818
1.710502,101,1160.559598
1.082463,101,1165.011477
1.410435,101,1169.498584
2.067891,101,1173.953824
2.252905,101,1178.44846
0.89915,101,1182.963693
1.934958,101,1187.524635
2.146137,101,1192.091635
1.845965,101,1196.668813
2.011636,101,1201.255521
-18.509021,9,1201.719885
2.607468,101,1206.261311
1.295935,101,1210.801517
3.304187,101,1215.345762
2.669832,101,1219.976985
1.8641,101,1224.492337
2.032168,101,1228.949505
-8.142346,6,1229.263468
1.776486,101,1233.701198
1.020535,101,1238.127779
1.781248,101,1242.584617
2.198363,101,1247.020263
2.734102,101,1251.448649
1.207964,101,1255.878168
1.894595,101,1260.333961
-7.423479,11,1260.884332
2.431976,101,1265.306835
2.002993,101,1269.727356
2.156203,101,1274.194108
2.018079,101,1278.682517
3.003419,101,1283.153293
1.827369,101,1287.708669
1.617817,101,1292.220243
2.628229,101,1296.671603
1.757277,101,1301.111385
2.334568,101,1305.589106
2.274931,101,1310.051858
2.667272,101,1314.52289
2.081448,101,1319.05415
2.336348,101,1323.582489
2.326353,101,1328.041103
1.652149,101,1332.500672
1.903939,101,1336.963122
-7.722114,6,1337.277368
