Wall time,Step,Value
1652123204.5353355,4,-7.473110198974609
1652123209.891919,18,-2.420426607131958
1652123213.633332,26,-18.046489715576172
1652123214.163299,27,-0.01624753512442112
1652123220.7546508,40,1.615330696105957
1652123223.358491,47,3.1880128383636475
1652123223.8843627,48,2.3741769790649414
1652123229.894129,62,3.241575241088867
1652123230.4126606,63,1.9753504991531372
1652123231.969633,67,1.8590391874313354
1652123233.7305613,71,-7.550224781036377
1652123237.1190803,77,2.2323157787323
1652123240.251302,82,1.2424489259719849
1652123244.2516866,89,2.551562547683716
1652123249.9238741,99,2.4784038066864014
1652123251.6227872,103,2.5625810623168945
1652123253.9277043,107,3.2038707733154297
1652123260.921044,121,1.5983048677444458
1652123263.2919621,125,2.8106062412261963
1652123263.8491292,126,2.455408811569214
1652123264.538062,128,1.6241337060928345
1652123265.7480555,130,2.39725661277771
1652123268.9809923,136,1.6477415561676025
1652123272.506099,144,1.7625987529754639
1652123273.60477,146,2.0505762100219727
1652123274.145013,147,2.7489638328552246
1652123279.5700114,157,2.484227180480957
1652123281.190921,160,2.8539750576019287
1652123282.2759454,162,1.9405596256256104
1652123283.3663743,164,2.5716712474823
1652123287.167541,172,1.9617661237716675
1652123289.3372617,177,2.5157923698425293
1652123296.9213288,191,2.0797219276428223
1652123297.528166,192,2.176305055618286
1652123302.833115,203,1.688708782196045
1652123303.8945975,205,2.236643075942993
1652123307.5742652,213,2.6842055320739746
1652123315.8271444,229,1.6301730871200562
1652123323.0948062,244,2.5010275840759277
1652123323.610233,245,1.9895718097686768
1652123328.869066,258,2.2359931468963623
1652123328.87264,259,-7.5570173263549805
1652123334.3176277,271,1.9760419130325317
1652123335.9168873,274,1.7618759870529175
1652123339.1614516,282,2.500250816345215
1652123340.8103476,285,3.00199031829834
1652123342.4181728,288,2.572910785675049
1652123343.4557977,290,2.4618279933929443
1652123346.1479654,295,2.8680477142333984
1652123346.4204082,297,-17.528810501098633
1652123352.6834543,308,1.6551945209503174
1652123356.114631,316,2.1088929176330566
1652123356.6822808,318,1.4413518905639648
1652123357.247173,319,1.9731215238571167
1652123358.6379545,322,1.5394841432571411
1652123370.8885808,345,0.7003864645957947
1652123371.4280884,346,1.7479634284973145
1652123377.2941663,358,2.1488430500030518
1652123380.7865338,364,-37.378509521484375
1652123380.790706,365,-7.521376132965088
1652123381.3206089,366,1.7118356227874756
1652123387.1875608,378,2.4507217407226562
1652123391.1391952,386,-17.61358642578125
1652123393.0551388,390,2.3222482204437256
1652123394.1032836,392,2.8514082431793213
1652123395.6862338,397,1.9735589027404785
1652123397.8744721,402,-7.776744842529297
1652123398.9110794,404,2.3105831146240234
1652123404.8833728,415,2.1310296058654785
1652123407.546655,421,1.835625410079956
1652123408.0670466,422,2.5436291694641113
1652123414.738607,436,1.9307290315628052
1652123415.2738538,437,2.655651807785034
1652123416.3207521,439,3.239910125732422
1652123420.2150936,446,2.0328450202941895
1652123422.864773,452,0.8015827536582947
1652123427.6102827,461,2.8141865730285645
1652123428.6888866,465,2.3128039836883545
1652123430.0253055,468,1.7283293008804321
1652123431.1414735,470,2.3347067832946777
1652123433.2370932,474,2.354386568069458
1652123433.7696674,475,1.325446605682373
1652123436.4928758,480,1.9275578260421753
1652123437.023929,481,1.430128812789917
1652123440.1876807,487,2.4321608543395996
1652123452.6299255,510,2.249830961227417
1652123453.4523828,512,1.511597990989685
1652123453.4553425,513,-8.276333808898926
1652123454.0176823,514,2.4463987350463867
1652123455.7222695,517,2.214787721633911
1652123456.8752453,519,2.5191874504089355
1652123463.3549142,533,2.1250128746032715
1652123463.8737798,534,2.2831549644470215
1652123464.9313247,536,2.5624887943267822
1652123465.9744937,538,2.7796950340270996
1652123467.2814333,540,2.4633710384368896
1652123469.3834484,544,2.778750419616699
1652123470.484593,546,2.257735013961792
1652123472.6598408,550,2.5854344367980957
1652123473.712314,552,2.421677350997925
1652123475.2950213,556,1.6553449630737305
1652123478.540944,562,2.0602662563323975
1652123479.6442537,564,1.9670902490615845
1652123481.8644204,568,1.7315459251403809
1652123488.6927826,584,-7.023135185241699
1652123491.867718,590,1.0791904926300049
1652123493.9784727,594,1.042917251586914
1652123495.0333674,596,2.607856512069702
1652123503.8470883,613,1.1218512058258057
1652123504.38515,614,2.3539326190948486
1652123508.864745,622,2.7691547870635986
1652123509.3849354,623,2.1447904109954834
1652123511.1168334,628,-7.947881698608398
1652123511.370614,629,-27.34868621826172
1652123514.6025767,637,1.824617862701416
1652123517.9246953,643,1.6232987642288208
1652123517.927161,644,-8.58906364440918
1652123520.5651731,649,2.2313623428344727
1652123525.4661565,658,2.6087327003479004
1652123526.5270863,660,1.896140694618225
1652123530.5383983,667,1.4762635231018066
1652123534.503053,675,2.9261088371276855
1652123535.0293906,676,1.8227670192718506
1652123538.7310722,684,2.2054734230041504
1652123542.943282,692,2.189645290374756
1652123544.0602744,694,2.1282758712768555
1652123552.6778195,710,2.407975435256958
1652123558.4972878,721,3.054075241088867
1652123559.0450583,723,1.8071738481521606
1652123560.111056,725,1.7775057554244995
1652123561.7027087,728,1.9634126424789429
1652123563.3416834,731,2.3481032848358154
1652123563.868567,732,1.9570293426513672
1652123570.2922342,744,2.497326612472534
1652123579.8605316,764,2.868577718734741
1652123585.988449,775,2.3427789211273193
1652123586.517798,776,1.6492531299591064
1652123589.9623313,782,2.0161514282226562
1652123592.131485,788,2.6213669776916504
1652123600.2436764,804,2.227368116378784
1652123600.7798862,805,2.5573737621307373
1652123601.875787,807,2.4250192642211914
1652123603.5308557,810,2.6789846420288086
1652123607.0066328,819,2.773768901824951
1652123613.976686,832,1.8374180793762207
1652123618.5527136,840,1.6081241369247437
1652123620.5610747,843,2.1135106086730957
1652123627.871466,857,2.345651626586914
1652123630.870859,862,2.3118531703948975
1652123632.7662675,866,-7.837169647216797
1652123635.1570015,871,1.9378905296325684
1652123643.737272,886,-18.090267181396484
1652123649.581105,897,-8.480710983276367
1652123651.8842647,901,1.9673672914505005
1652123655.7521372,908,2.7300832271575928
1652123667.8457966,930,2.6040165424346924
